location_id,latitude,longitude,elevation_m,scenario,period,month,precipitation_mm,mean_temperature_c,minimum_temperature_c,maximum_temperature_c,relative_humidity_percent,wind_speed_ms,consecutive_dry_days_index,heavy_rain_days,heat_stress_days,drought_tendency,coconut_climate_suitability,temperature_spread_c,precipitation_spread_fraction,data_source_type,generation_version
south_cotabato,6.334,124.952,150,ssp126,historical,1,122.95,25.3,21.1,30.3,79.459,2.245,0.1517,1.639,0.0,0.1517,0.6952,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,2,90.927,25.5,21.3,30.5,76.819,2.391,0.1695,1.212,0.0,0.1695,0.6652,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,3,99.259,26.1,21.9,31.1,75.985,2.445,0.1649,1.323,0.0,0.1649,0.7121,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,4,106.82,26.7,22.5,31.7,76.136,2.391,0.1607,1.424,0.5,0.1607,0.7581,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,5,167.065,26.8,22.6,31.8,80.341,2.245,0.1272,2.228,0.75,0.1272,0.843,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,6,227.657,26.3,22.1,31.3,85.553,2.045,0.0935,3.035,0.0,0.0935,0.7861,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,7,265.928,25.9,21.7,30.9,87.319,1.845,0.0723,3.546,0.0,0.0723,0.7204,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,8,262.801,26.0,21.8,31.0,87.256,1.699,0.074,3.504,0.0,0.074,0.7298,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,9,221.219,26.1,21.9,31.1,86.424,1.645,0.0971,2.95,0.0,0.0971,0.7811,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,10,209.856,26.1,21.9,31.1,86.197,1.699,0.1034,2.798,0.0,0.1034,0.7935,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,11,181.942,25.9,21.7,30.9,84.639,1.845,0.1189,2.426,0.0,0.1189,0.8085,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,historical,12,148.856,25.5,21.3,30.5,81.977,2.045,0.1373,1.985,0.0,0.1373,0.7412,0.35,0.08,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,1,122.411,25.536,21.336,30.536,79.246,2.245,0.1655,1.647,0.0,0.1655,0.706,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,2,90.528,25.736,21.536,30.736,76.608,2.391,0.1832,1.218,0.0,0.1832,0.6762,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,3,98.814,26.336,22.136,31.336,75.774,2.445,0.1786,1.329,0.266,0.1786,0.723,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,4,106.328,26.936,22.736,31.936,75.924,2.391,0.1744,1.43,1.766,0.1744,0.7689,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,5,166.291,27.036,22.836,32.036,80.123,2.245,0.1411,2.237,2.016,0.1411,0.8492,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,6,226.625,26.536,22.336,31.536,85.33,2.045,0.1076,3.049,0.766,0.1076,0.7987,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,7,264.755,26.136,21.936,31.136,87.093,1.845,0.0864,3.562,0.0,0.0864,0.7332,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,8,261.653,26.236,22.036,31.236,87.031,1.699,0.0881,3.52,0.016,0.0881,0.7426,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,9,220.234,26.336,22.136,31.336,86.202,1.645,0.1111,2.963,0.266,0.1111,0.7937,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,10,208.894,26.336,22.136,31.336,85.975,1.699,0.1174,2.81,0.266,0.1174,0.806,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,11,181.098,26.136,21.936,31.136,84.419,1.845,0.1329,2.436,0.0,0.1329,0.8189,0.462,0.11,synthetic_reference_based,climate-demo-1.0
south_cotabato,6.334,124.952,150,ssp126,2021-2040,12,148.176,25.736,21.536,30.736,81.761,2.045,0.1512,1.993,0.0,0.1512,0.7517,0.462,0.11,synthetic_reference_based,climate-demo-1.0
